Standard Deviation of Differences: 19.026775
Mean Value of Absolute Values of Diffrences: 13.598617
Max Value of Absolute Values of Differences: 89.34476
 
  Real Values  |  Predictions  |  Differences  
   [59.32]        [67.60406]     [-8.284058] 
   [197.]         [186.43748]    [10.562515] 
   [61.25]        [56.558956]    [4.691044]  
   [74.15]        [78.14806]     [-3.9980621]
   [135.35]       [120.64223]    [14.707779] 
   [89.93]        [58.897278]    [31.032722] 
   [128.61]       [110.38362]    [18.22638]  
   [115.81]       [100.31421]    [15.495789] 
   [92.2]         [85.56903]     [6.630966]  
   [117.67]       [129.68214]    [-12.012146]
   [230.62]       [242.70128]    [-12.081284]
   [55.32]        [49.284355]    [6.0356445] 
   [97.22]        [112.66319]    [-15.443192]
   [76.84]        [81.467]       [-4.6270065]
   [242.27]       [220.65976]    [21.610245] 
   [126.42]       [96.04461]     [30.37539]  
   [232.6]        [210.66089]    [21.939117] 
   [113.36]       [120.54875]    [-7.188751] 
   [64.13]        [56.782627]    [7.34737]   
   [97.02]        [77.11397]     [19.906029] 
   [74.66]        [83.48515]     [-8.82515]  
   [178.6]        [144.82408]    [33.775925] 
   [42.64]        [36.578697]    [6.061302]  
   [20.69]        [12.99066]     [7.699341]  
   [166.92]       [162.353]      [4.5670013] 
   [102.75]       [74.51551]     [28.23449]  
   [57.32]        [56.648735]    [0.67126465]
   [363.11]       [391.2086]     [-28.098602]
   [32.19]        [32.527832]    [-0.3378334]
   [70.16]        [91.932945]    [-21.772942]
   [94.52]        [105.03359]    [-10.513596]
   [160.17]       [176.71277]    [-16.54277] 
   [182.95]       [178.81686]    [4.133133]  
   [53.38]        [48.404316]    [4.975685]  
   [59.3]         [71.576416]    [-12.276417]
   [49.04]        [55.09898]     [-6.058979] 
   [43.3]         [36.77747]     [6.5225296] 
   [68.27]        [70.054405]    [-1.7844086]
   [91.59]        [97.54586]     [-5.955864] 
   [72.1]         [67.25272]     [4.847275]  
   [51.75]        [51.334564]    [0.4154358] 
   [91.04]        [86.289055]    [4.750946]  
   [81.38]        [101.22703]    [-19.84703] 
   [78.1]         [74.156876]    [3.9431229] 
   [93.06]        [95.27848]     [-2.218483] 
   [135.93]       [149.615]      [-13.685013]
   [110.59]       [114.955475]   [-4.3654785]
   [187.85]       [206.60408]    [-18.754074]
   [142.1]        [111.706635]   [30.393372] 
   [59.37]        [64.02209]     [-4.652088] 
   [147.68]       [116.88317]    [30.796822] 
   [187.73]       [204.30101]    [-16.571014]
   [88.7]         [101.04407]    [-12.34407] 
   [92.43]        [87.02023]     [5.409767]  
   [82.85]        [105.16804]    [-22.318039]
   [87.16]        [87.00692]     [0.1530838] 
   [81.72]        [78.52437]     [3.195633]  
   [84.38]        [71.73027]     [12.649727] 
   [76.21]        [80.61832]     [-4.4083176]
   [60.4]         [85.33237]     [-24.932365]
   [182.68]       [170.69388]    [11.9861145]
   [104.56]       [87.07587]     [17.48413]  
   [99.79]        [104.565605]   [-4.7756042]
   [49.35]        [49.632393]    [-0.2823944]
   [258.59]       [248.55092]    [10.039078] 
   [170.79]       [150.82016]    [19.969833] 
   [202.61]       [195.96965]    [6.6403503] 
   [47.3]         [35.344494]    [11.955505] 
   [79.01]        [77.37026]     [1.63974]   
   [63.19]        [54.176105]    [9.013893]  
   [70.57]        [57.059574]    [13.510426] 
   [83.2]         [103.01022]    [-19.810226]
   [67.3]         [78.410324]    [-11.110321]
   [104.63]       [106.05386]    [-1.4238663]
   [86.06]        [86.16204]     [-0.10204315]
   [105.42]       [88.08831]     [17.331688] 
   [55.06]        [63.86605]     [-8.806049] 
   [158.62]       [115.39586]    [43.224136] 
   [105.54]       [110.33106]    [-4.7910614]
   [164.27]       [131.63736]    [32.632645] 
   [236.62]       [191.22078]    [45.399216] 
   [66.32]        [74.73155]     [-8.411552] 
   [75.44]        [78.15863]     [-2.718628] 
   [64.31]        [74.436066]    [-10.126068]
   [69.76]        [65.00906]     [4.7509384] 
   [38.86]        [54.409073]    [-15.549072]
   [217.87]       [201.20428]    [16.66571]  
   [59.24]        [67.95482]     [-8.714817] 
   [36.04]        [30.525343]    [5.514658]  
   [59.28]        [59.358692]    [-0.07869339]
   [53.93]        [62.1543]      [-8.2243]   
   [82.09]        [93.77143]     [-11.681435]
   [106.96]       [108.7842]     [-1.8242035]
   [144.72]       [145.20299]    [-0.48298645]
   [93.08]        [117.89412]    [-24.814117]
   [98.85]        [94.848656]    [4.001343]  
   [76.71]        [82.127464]    [-5.417465] 
   [239.77]       [191.22923]    [48.54077]  
   [92.11]        [89.74916]     [2.3608398] 
   [60.04]        [64.05758]     [-4.017578] 
   [71.77]        [52.652145]    [19.117851] 
   [110.45]       [89.39617]     [21.053825] 
   [103.41]       [91.36317]     [12.046837] 
   [62.49]        [60.408943]    [2.0810585] 
   [36.48]        [41.9971]      [-5.5171013]
   [69.13]        [86.79836]     [-17.668365]
   [76.94]        [105.564316]   [-28.624313]
   [98.18]        [110.714386]   [-12.534386]
   [35.31]        [30.748085]    [4.5619164] 
   [163.26]       [176.23836]    [-12.978363]
   [72.3]         [74.75645]     [-2.4564438]
   [136.28]       [122.97708]    [13.3029175]
   [96.61]        [113.09317]    [-16.48317] 
   [85.72]        [96.75991]     [-11.039909]
   [130.94]       [138.11765]    [-7.177643] 
   [110.21]       [107.81282]    [2.3971786] 
   [115.72]       [113.21975]    [2.5002518] 
   [119.19]       [126.02932]    [-6.8393173]
   [112.67]       [114.32977]    [-1.6597748]
   [136.64]       [154.96913]    [-18.329132]
   [117.66]       [104.28563]    [13.374374] 
   [108.18]       [96.74044]     [11.43956]  
   [261.85]       [218.50719]    [43.34282]  
   [176.87]       [179.24411]    [-2.374115] 
   [85.94]        [91.43873]     [-5.498726] 
   [175.33]       [178.19122]    [-2.8612213]
   [112.65]       [118.14701]    [-5.4970093]
   [88.84]        [113.581215]   [-24.741219]
   [94.02]        [107.38399]    [-13.363991]
   [118.45]       [126.92253]    [-8.472534] 
   [220.57]       [209.57193]    [10.998077] 
   [91.02]        [96.27954]     [-5.2595444]
   [217.19]       [221.41663]    [-4.2266235]
   [71.6]         [70.61661]     [0.9833908] 
   [140.69]       [91.00442]     [49.685585] 
   [94.78]        [110.631]      [-15.850998]
   [22.62]        [41.595886]    [-18.975885]
   [94.75]        [86.17999]     [8.570007]  
   [35.71]        [33.768818]    [1.9411812] 
   [42.27]        [42.14271]     [0.12728882]
   [80.67]        [68.161]       [12.508995] 
   [193.54]       [128.53416]    [65.00583]  
   [209.51]       [205.12091]    [4.389084]  
   [227.92]       [215.4362]     [12.483795] 
   [88.08]        [105.75261]    [-17.672607]
   [82.]          [91.68148]     [-9.68148]  
   [37.06]        [47.08356]     [-10.02356] 
   [101.86]       [87.072716]    [14.787285] 
   [74.9]         [93.86321]     [-18.963211]
   [77.14]        [68.02269]     [9.11731]   
   [249.02]       [246.54904]    [2.4709625] 
   [194.58]       [231.00584]    [-36.425842]
   [204.55]       [186.17635]    [18.373657] 
   [230.19]       [233.28703]    [-3.0970306]
   [115.83]       [106.91682]    [8.913185]  
   [124.7]        [133.84615]    [-9.146149] 
   [71.33]        [108.08373]    [-36.75373] 
   [58.35]        [65.02493]     [-6.6749344]
   [160.64]       [180.94278]    [-20.30278] 
   [179.98]       [177.62166]    [2.3583374] 
   [103.84]       [107.99764]    [-4.157646] 
