Standard Deviation of Differences: 26.652338
Mean Value of Absolute Values of Diffrences: 19.566282
Max Value of Absolute Values of Differences: 271.89612
 
  Real Values  |  Predictions  |  Differences  
   [135.46]       [136.37273]    [-0.9127197]
   [41.]          [26.265352]    [14.734648] 
   [156.52]       [149.98242]    [6.5375824] 
   [147.1]        [123.37831]    [23.721695] 
   [48.15]        [88.00533]     [-39.85533] 
   [66.11]        [63.6392]      [2.4708023] 
   [35.59]        [67.50206]     [-31.91206] 
   [254.74]       [188.94777]    [65.79224]  
   [119.03]       [134.20079]    [-15.170792]
   [181.83]       [194.63374]    [-12.803741]
   [29.48]        [58.60064]     [-29.12064] 
   [115.87]       [93.043785]    [22.826218] 
   [123.02]       [135.14392]    [-12.123924]
   [127.75]       [85.0124]      [42.737602] 
   [91.46]        [81.95289]     [9.507111]  
   [115.09]       [100.57006]    [14.519936] 
   [48.94]        [117.14731]    [-68.207306]
   [79.59]        [88.17288]     [-8.582886] 
   [91.9]         [92.89545]     [-0.99544525]
   [100.26]       [78.90875]     [21.35125]  
   [146.78]       [108.178604]   [38.601395] 
   [189.1]        [183.15945]    [5.9405518] 
   [70.13]        [65.076]       [5.054001]  
   [249.61]       [207.3523]     [42.257706] 
   [87.04]        [117.16882]    [-30.128822]
   [222.39]       [261.6632]     [-39.27321] 
   [38.9]         [27.619488]    [11.280514] 
   [52.43]        [73.00611]     [-20.57611] 
   [138.31]       [154.32462]    [-16.014618]
   [92.47]        [91.81008]     [0.65991974]
   [47.52]        [56.808586]    [-9.288586] 
   [51.89]        [80.69959]     [-28.809593]
   [71.86]        [103.32736]    [-31.467361]
   [88.62]        [73.754234]    [14.865768] 
   [35.37]        [31.694489]    [3.6755104] 
   [96.14]        [120.86081]    [-24.72081] 
   [82.84]        [68.40882]     [14.431175] 
   [89.99]        [90.18226]     [-0.19226074]
   [88.09]        [117.22955]    [-29.139557]
   [27.07]        [1.6804856]    [25.389515] 
   [53.14]        [85.07273]     [-31.932732]
   [104.72]       [107.30986]    [-2.589859] 
   [115.58]       [133.99431]    [-18.414307]
   [99.56]        [122.65432]    [-23.094322]
   [145.66]       [137.69576]    [7.9642487] 
   [103.22]       [118.78722]    [-15.567215]
   [102.54]       [76.17369]     [26.36631]  
   [107.6]        [146.22868]    [-38.628685]
   [92.66]        [122.959206]   [-30.299202]
   [90.2]         [103.06398]    [-12.863983]
   [100.28]       [140.81863]    [-40.538635]
   [271.57]       [249.00372]    [22.566284] 
   [83.88]        [95.38765]     [-11.507652]
   [152.95]       [153.18883]    [-0.23883057]
   [173.32]       [105.46579]    [67.85422]  
   [106.46]       [132.22942]    [-25.769417]
   [51.23]        [47.121006]    [4.1089935] 
   [45.32]        [45.857834]    [-0.53783417]
   [66.78]        [59.149757]    [7.6302414] 
   [172.35]       [134.83127]    [37.518738] 
   [84.4]         [48.553726]    [35.846275] 
   [115.88]       [128.40956]    [-12.529564]
   [62.73]        [76.60615]     [-13.876148]
   [92.24]        [94.8002]      [-2.5602036]
   [90.9]         [57.44012]     [33.45988]  
   [75.64]        [88.040855]    [-12.400856]
   [96.23]        [108.73547]    [-12.50547] 
   [173.25]       [164.6872]     [8.562805]  
   [156.02]       [133.21458]    [22.80542]  
   [184.83]       [142.03061]    [42.799393] 
   [110.56]       [144.44374]    [-33.883743]
   [120.82]       [95.7175]      [25.1025]   
   [93.64]        [95.015465]    [-1.3754654]
   [89.19]        [47.771404]    [41.4186]   
   [61.08]        [70.41584]     [-9.335838] 
   [246.6]        [103.10086]    [143.49915] 
   [95.99]        [96.267914]    [-0.27791595]
   [333.65]       [244.58446]    [89.06554]  
   [99.21]        [89.36119]     [9.848808]  
   [66.1]         [56.547894]    [9.552105]  
   [64.98]        [78.98454]     [-14.0045395]
   [101.7]        [123.68573]    [-21.985733]
   [193.75]       [130.94012]    [62.809875] 
   [178.51]       [123.97718]    [54.532814] 
   [118.15]       [101.21244]    [16.937561] 
   [100.09]       [80.23727]     [19.85273]  
   [116.96]       [147.68254]    [-30.722542]
   [72.8]         [90.2876]      [-17.487595]
   [64.05]        [38.26693]     [25.783073] 
   [160.15]       [128.61626]    [31.533737] 
   [114.22]       [78.20012]     [36.019882] 
   [132.33]       [109.7342]     [22.595802] 
   [69.76]        [72.65591]     [-2.8959045]
   [316.8]        [307.5047]     [9.295288]  
   [158.97]       [138.10881]    [20.86119]  
   [162.37]       [133.62617]    [28.74382]  
   [126.09]       [131.39871]    [-5.308716] 
   [49.93]        [45.614708]    [4.3152924] 
   [31.58]        [40.053726]    [-8.473726] 
   [104.47]       [95.093185]    [9.376816]  
   [123.9]        [94.41028]     [29.489723] 
   [127.84]       [146.55144]    [-18.711441]
   [57.99]        [40.787525]    [17.202477] 
   [132.26]       [109.11072]    [23.149277] 
   [176.96]       [190.02518]    [-13.06517] 
   [91.01]        [143.49083]    [-52.480827]
   [148.26]       [139.98332]    [8.276672]  
   [90.45]        [109.94206]    [-19.492065]
   [54.51]        [64.41924]     [-9.909245] 
   [191.98]       [189.01266]    [2.967331]  
   [114.38]       [90.40715]     [23.972847] 
   [143.13]       [198.36751]    [-55.237503]
   [62.82]        [79.07605]     [-16.25605] 
   [115.01]       [121.32491]    [-6.314911] 
   [22.44]        [30.056501]    [-7.616501] 
   [127.86]       [139.2957]     [-11.435699]
